geoid,name,state,county,county_name,tract,population_acs5_2020,population_moe_acs5_2020,median_household_income_acs5_2020,median_household_income_moe_acs5_2020,incidents_2020,eligible_for_income_analysis,incidents_per_100k_2020
36005014900,"Census Tract 0149.00, Bronx County, New York",36,5,Bronx,14900,4611,1039,23620,7662,2,True,43.374539145521574
36005015100,"Census Tract 0151.00, Bronx County, New York",36,5,Bronx,15100,5165,914,26474,3715,2,True,38.72216844143272
36005015200,"Census Tract 0152.00, Bronx County, New York",36,5,Bronx,15200,2604,453,76344,11025,0,True,0.0
36005015300,"Census Tract 0153.00, Bronx County, New York",36,5,Bronx,15300,4311,647,32566,11274,3,True,69.58942240779402
36005015500,"Census Tract 0155.00, Bronx County, New York",36,5,Bronx,15500,2934,605,29138,9990,2,True,68.1663258350375
36005015700,"Census Tract 0157.00, Bronx County, New York",36,5,Bronx,15700,4861,793,34091,7437,3,True,61.71569635877391
36005015800,"Census Tract 0158.00, Bronx County, New York",36,5,Bronx,15800,1307,341,64712,18716,0,True,0.0
36005015900,"Census Tract 0159.00, Bronx County, New York",36,5,Bronx,15900,2115,459,-666666666,-222222222,1,False,47.28132387706856
36005016000,"Census Tract 0160.00, Bronx County, New York",36,5,Bronx,16000,3769,489,82250,10712,0,True,0.0
36005016100,"Census Tract 0161.00, Bronx County, New York",36,5,Bronx,16100,4633,649,19172,3946,4,True,86.33714655730628
36005016200,"Census Tract 0162.00, Bronx County, New York",36,5,Bronx,16200,1839,369,83250,20333,0,True,0.0
36005016300,"Census Tract 0163.00, Bronx County, New York",36,5,Bronx,16300,0,12,-666666666,-222222222,0,False,
36005016400,"Census Tract 0164.00, Bronx County, New York",36,5,Bronx,16400,1019,184,66875,28194,0,True,0.0
36005016500,"Census Tract 0165.00, Bronx County, New York",36,5,Bronx,16500,1028,235,26989,4998,1,True,97.27626459143968
36005016600,"Census Tract 0166.00, Bronx County, New York",36,5,Bronx,16600,2229,372,92535,12121,0,True,0.0
36005016700,"Census Tract 0167.00, Bronx County, New York",36,5,Bronx,16700,3568,624,31635,6064,2,True,56.053811659192824
36005016900,"Census Tract 0169.00, Bronx County, New York",36,5,Bronx,16900,1658,343,45017,7392,1,True,60.313630880579005
36005017100,"Census Tract 0171.00, Bronx County, New York",36,5,Bronx,17100,0,12,-666666666,-222222222,1,False,
36005017300,"Census Tract 0173.00, Bronx County, New York",36,5,Bronx,17300,5963,967,20619,12116,4,True,67.08032869361061
36005017500,"Census Tract 0175.00, Bronx County, New York",36,5,Bronx,17500,6584,970,24399,6286,4,True,60.75334143377885
36005017701,"Census Tract 0177.01, Bronx County, New York",36,5,Bronx,17701,4501,710,24977,14409,0,True,0.0
36005017702,"Census Tract 0177.02, Bronx County, New York",36,5,Bronx,17702,5201,947,41806,12069,3,True,57.681215150932516
