universe,event_date,categories,event_records,event_incidents,control_days,control_mean_incidents,paired_difference
CCC-recorded NYC political crowd days,2017-09-11,Political crowd day,1,3,1,4.0,-1.0
CCC-recorded NYC political crowd days,2017-09-16,Political crowd day,1,5,4,1.25,3.75
CCC-recorded NYC political crowd days,2017-09-18,Political crowd day,1,0,1,4.0,-4.0
CCC-recorded NYC political crowd days,2017-09-19,Political crowd day,1,0,5,3.0,-3.0
CCC-recorded NYC political crowd days,2017-10-01,Political crowd day,1,2,7,3.2857142857142856,-1.2857142857142856
CCC-recorded NYC political crowd days,2017-10-02,Political crowd day,1,0,1,0.0,0.0
CCC-recorded NYC political crowd days,2017-10-04,Political crowd day,1,2,6,2.1666666666666665,-0.16666666666666652
CCC-recorded NYC political crowd days,2017-10-05,Political crowd day,1,3,5,1.4,1.6
CCC-recorded NYC political crowd days,2017-10-06,Political crowd day,1,2,7,2.7142857142857144,-0.7142857142857144
CCC-recorded NYC political crowd days,2017-10-07,Political crowd day,1,1,4,1.5,-0.5
CCC-recorded NYC political crowd days,2017-10-09,Political crowd day,1,2,1,0.0,2.0
CCC-recorded NYC political crowd days,2017-10-11,Political crowd day,1,1,5,2.4,-1.4
CCC-recorded NYC political crowd days,2017-10-12,Political crowd day,1,5,4,1.0,4.0
CCC-recorded NYC political crowd days,2017-10-15,Political crowd day,1,6,5,2.8,3.2
CCC-recorded NYC political crowd days,2017-10-16,Political crowd day,1,1,1,0.0,1.0
CCC-recorded NYC political crowd days,2017-10-17,Political crowd day,1,2,4,3.5,-1.5
CCC-recorded NYC political crowd days,2017-10-19,Political crowd day,1,3,3,1.0,2.0
CCC-recorded NYC political crowd days,2017-10-23,Political crowd day,1,4,1,0.0,4.0
CCC-recorded NYC political crowd days,2017-10-28,Political crowd day,1,2,4,2.5,-0.5
CCC-recorded NYC political crowd days,2017-10-31,Political crowd day,1,2,3,3.0,-1.0
CCC-recorded NYC political crowd days,2017-11-01,Political crowd day,1,2,2,3.5,-1.5
CCC-recorded NYC political crowd days,2017-11-02,Political crowd day,1,0,1,0.0,0.0
CCC-recorded NYC political crowd days,2017-11-03,Political crowd day,1,5,6,2.0,3.0
CCC-recorded NYC political crowd days,2017-11-04,Political crowd day,1,4,3,3.0,1.0
CCC-recorded NYC political crowd days,2017-11-05,Political crowd day,1,1,4,1.5,-0.5
CCC-recorded NYC political crowd days,2017-11-06,Political crowd day,1,1,2,1.0,0.0
CCC-recorded NYC political crowd days,2017-11-07,Political crowd day,1,2,2,4.0,-2.0
CCC-recorded NYC political crowd days,2017-11-08,Political crowd day,1,1,2,3.5,-2.5
CCC-recorded NYC political crowd days,2017-11-09,Political crowd day,1,0,1,0.0,0.0
CCC-recorded NYC political crowd days,2017-11-12,Political crowd day,1,2,3,1.6666666666666667,0.33333333333333326
CCC-recorded NYC political crowd days,2017-11-13,Political crowd day,1,0,2,1.0,-1.0
CCC-recorded NYC political crowd days,2017-11-14,Political crowd day,1,1,1,2.0,-1.0
CCC-recorded NYC political crowd days,2017-11-15,Political crowd day,1,0,2,3.5,-3.5
CCC-recorded NYC political crowd days,2017-11-16,Political crowd day,1,1,1,0.0,1.0
CCC-recorded NYC political crowd days,2017-11-18,Political crowd day,1,4,2,3.5,0.5
CCC-recorded NYC political crowd days,2017-11-19,Political crowd day,1,1,4,1.75,-0.75
CCC-recorded NYC political crowd days,2017-11-20,Political crowd day,1,2,2,1.0,1.0
CCC-recorded NYC political crowd days,2017-11-21,Political crowd day,1,5,1,2.0,3.0
CCC-recorded NYC political crowd days,2017-11-22,Political crowd day,1,1,1,5.0,-4.0
