universe,event_date,categories,event_records,event_incidents,control_days,control_mean_incidents,paired_difference
Championship game dates,2022-11-02,World Series,1,3,8,1.625,1.375
Championship game dates,2022-11-03,World Series,1,3,8,2.5,0.5
Championship game dates,2022-11-05,World Series,1,2,7,3.7142857142857144,-1.7142857142857144
Championship game dates,2023-02-12,Super Bowl,1,3,8,3.0,0.0
Championship game dates,2023-06-01,NBA Finals,1,4,8,2.5,1.5
Championship game dates,2023-06-04,NBA Finals,1,6,8,3.5,2.5
Championship game dates,2023-06-07,NBA Finals,1,3,8,3.875,-0.875
Championship game dates,2023-06-09,NBA Finals,1,5,8,3.125,1.875
Championship game dates,2023-06-12,NBA Finals,1,1,8,3.875,-2.875
Championship game dates,2023-10-27,World Series,1,4,8,2.0,2.0
Championship game dates,2023-10-28,World Series,1,4,8,2.375,1.625
Championship game dates,2023-10-30,World Series,1,2,8,2.125,-0.125
Championship game dates,2023-10-31,World Series,1,3,8,1.375,1.625
Championship game dates,2023-11-01,World Series,1,2,8,2.5,-0.5
Championship game dates,2024-02-11,Super Bowl,1,3,8,1.875,1.125
Championship game dates,2024-06-06,NBA Finals,1,3,8,3.125,-0.125
Championship game dates,2024-06-09,NBA Finals,1,4,8,3.75,0.25
Championship game dates,2024-06-12,NBA Finals,1,3,8,3.0,0.0
Championship game dates,2024-06-14,NBA Finals,1,1,8,2.875,-1.875
Championship game dates,2024-06-17,NBA Finals,1,6,8,3.0,3.0
Championship game dates,2024-10-25,World Series,1,4,8,2.0,2.0
Championship game dates,2024-10-26,World Series,1,6,8,3.25,2.75
Championship game dates,2024-10-28,World Series,1,2,8,2.625,-0.625
Championship game dates,2024-10-29,World Series,1,1,8,1.75,-0.75
Championship game dates,2024-10-30,World Series,1,5,8,2.25,2.75
Championship game dates,2025-02-09,Super Bowl,1,0,8,1.625,-1.625
Championship game dates,2025-06-05,NBA Finals,1,4,7,2.142857142857143,1.8571428571428572
Championship game dates,2025-06-08,NBA Finals,1,3,7,2.5714285714285716,0.4285714285714284
Championship game dates,2025-06-11,NBA Finals,1,1,8,2.0,-1.0
Championship game dates,2025-06-13,NBA Finals,1,3,8,1.75,1.25
Championship game dates,2025-06-16,NBA Finals,1,1,8,2.625,-1.625
Championship game dates,2025-06-19,NBA Finals,1,2,7,2.2857142857142856,-0.2857142857142856
Championship game dates,2025-06-22,NBA Finals,1,3,7,2.2857142857142856,0.7142857142857144
Championship game dates,2025-10-24,World Series,1,4,7,1.7142857142857142,2.2857142857142856
Championship game dates,2025-10-25,World Series,1,2,7,1.4285714285714286,0.5714285714285714
Championship game dates,2025-10-27,World Series,1,0,8,1.125,-1.125
Championship game dates,2025-10-28,World Series,1,2,8,1.25,0.75
Championship game dates,2025-10-29,World Series,1,1,8,1.625,-0.625
Championship game dates,2025-10-31,World Series,1,3,7,1.5714285714285714,1.4285714285714286
Championship game dates,2025-11-01,World Series,1,1,7,1.5714285714285714,-0.5714285714285714
